813452859	186	192
813452859	0	7
813494037	0	6
813494037	1539	1547
813494037	2294	2317
813494037	2458	2752
813547724	1343	1355
813552066	0	8
813602345	2374	4173
813602345	2415	2422
813602345	27	1759
813602345	254	1877
813602345	193	1786
813602345	169	1753
813602345	10	1581
813602345	71	1504
813603860	169	237
813603860	2286	2337
813623212	767	773
813623212	1223	1225
813623212	289	290
813623212	291	5277
813623212	1944	1949
813623212	291	294
813623212	466	5350
813623212	3923	4023
813623212	2946	6858
813623212	4351	5664
813714967	0	7
813949697	2182	2398
813953273	83	84
813953273	13	114
813953273	2340	2404
813992175	0	15
813992175	7	300
814371058	0	6
814403543	737	4570
814403543	1997	2000
814403543	3666	3766
814403783	0	2
814403875	0	6
814403875	1286	1291
814404002	0	4
814404002	96	97
814404002	328	332
814404002	1615	1627
814404002	13557	13657
814404002	156	169
814404002	2100	2109
814404002	4391	4398
814404002	13102	13202
814404002	1951	1961
814404002	1930	14984
814404002	857	859
814404002	55	12960
814404002	187	235
814404002	263	13027
814404002	263	12862
814404002	2815	2822
814404002	743	753
814404002	303	12717
814404002	55	12123
814404002	97	114
814404002	28	33
814404002	549	557
814404002	687	12564
814404002	1418	1470
814404002	263	268
814404002	3561	3570
814404002	981	12724
814404002	3638	15320
814404002	743	11002
814404002	0	6
814404002	10092	10192
814630609	15	16
814630609	24	27
814630609	2198	4626
814630609	185	187
814630609	3	4
814630609	2155	2255
814630609	253	1923
814630609	3309	3315
814630609	0	3
814777937	13	14
814777937	339	650
814777937	1934	2240
814777937	1946	1957
814777937	1822	1978
815858385	236	239
815858385	0	5
815858385	2178	2183
815858385	2193	6825
815858385	521	522
815858385	1766	6354
815858385	158	161
815858385	127	131
815858385	2655	6808
815858385	104	4014
816460196	264	272
816460196	0	6
816460196	1394	1494
816460196	2387	3861
816460196	508	595
816720060	697	710
816720060	273	280
816720060	324	341
816720060	3195	4490
816720060	3212	4489
816720060	3507	4466
816720060	3584	3605
816720060	0	2
816720060	3966	4766
816720060	3710	4456
816720060	3195	3913
816720060	1891	2592
816720060	1358	2046
816720060	149	721
816720060	2	161
817147979	0	8
817147979	916	920
817147979	0	1
817147979	208	209
817147979	2126	2225
817176202	852	856
817190270	536	544
817190270	948	964
817190270	314	324
817190270	0	12
817190270	2289	4382
817408115	88	91
817408115	30	31
817408115	3613	3618
817408115	554	14705
817408115	13745	13845
817408115	88	12357
817408115	11932	12032
817408115	4531	4537
817449755	1428	1430
817449755	7	15
820791520	0	6
820791520	2323	2423
820791520	229	2642
820791520	2378	2385
820791520	2400	2405
820791520	2411	4551
820791520	89	2208
820791520	2507	4547
820791520	1921	2021
820791520	192	195
820791520	373	2303
820791520	1814	1914
820791520	3503	4419
820791520	7	838
820791520	149	959
820791520	192	957
820791520	497	1249
820791520	1227	1230
820791520	2426	2431
820791520	319	321
820791520	1498	1505
821744708	430	433
821744708	228	2058
821744708	173	1890
821744708	19	1639
822220578	3258	5861
822942601	689	691
822942601	239	2009
822942601	599	2353
822942601	1552	1652
822942601	8	1639
822942601	1951	1962
822942601	134	1585
822942601	30	1423
822942601	265	267
822942601	2670	3974
822942601	408	1697
824350729	2849	5114
824658990	0	8
824658990	113	141
824658990	97	780
824684605	1209	1309
824684605	1197	1297
824684605	208	211
824684605	2388	2409
824684605	267	1165
824684605	2605	3383
824684605	2343	3110
824684605	2641	3383
828866387	0	11
829267754	286	287
829267754	839	939
829815104	362	376
829815104	110	113
829815104	7981	8081
829815104	4576	12594
829815104	2694	2697
829815104	275	6142
829815104	4523	10374
829815104	200	203
829815104	36	5086
830274102	53	55
830274102	2379	6530
830274102	3981	4081
830274102	176	3636
830274102	1787	5167
830274102	2790	6038
830274102	2850	5133
830274102	307	310
830274102	5613	5617
830359136	1597	1601
830359136	267	2023
830359136	0	3
830359136	1195	1199
830359136	2136	3715
830359136	267	1786
830359136	2131	3644
830359136	2266	2274
830359136	297	299
830359136	2307	2324
830359136	58	1363
830359136	99	101
830359136	595	1128
830359136	122	633
830359136	384	703
830359423	170	171
830359423	170	12242
830359423	1934	1938
830359423	77	12012
830359423	0	15
830359423	2894	14517
830359423	3346	14483
830359423	3352	14481
830359423	0	4
830359423	3286	14290
830359423	878	11803
830359423	10813	10913
830359423	0	2
830359423	3399	14106
830359423	821	11392
830359423	685	10926
830359423	4584	14342
830359423	4648	14342
830359423	2666	12211
830359423	314	9664
830359423	4499	4505
830359423	5467	5478
830821478	0	4
830821478	226	6557
830821478	1299	6731
830821478	226	5410
830821478	71	5050
830821478	3957	8931
830821478	1314	1318
830821478	71	4290
832269185	7064	7080
832931332	132	137
832931332	153	161
832934428	0	4
832940138	290	291
832947554	0	27
832947600	0	6
832948083	2043	2049
832959523	2126	3045
832971448	1837	1842
832971448	2214	2218
832971448	2590	2598
832971448	2651	3802
832971448	237	1363
832971448	142	783
832971448	3177	3189
832971448	2770	2779
832984694	55	935
832984694	1694	2529
833013834	262	264
833013834	557	558
833013834	1304	1314
833013834	1971	4949
833013834	2755	4879
833013834	2219	4296
833013834	68	70
833018464	37	40
833018464	427	445
833018464	161	163
833018464	1061	1065
833018464	0	3
833018464	721	723
833018464	4119	4219
833018464	267	4444
833018464	3	3446
833018464	3222	3322
833018464	3129	3229
833018464	3009	3014
833018464	21	3006
833018464	256	3190
833021113	1164	1183
833021113	621	631
833024133	495	499
833028146	327	329
833028146	484	487
